"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Avg. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Avg. (%)","Wind Speed 2 m Avg. (km/h)"
"Keoma AGCM",2017/01/01,1,-12.03,-7.909,-22.24,84.709,14.729
"Keoma AGCM",2017/01/02,0,-25.216,-16.86,-29.18,80.819,4.098
"Keoma AGCM",2017/01/03,0,-21.742,-16.38,-25.34,79.454,7.851
"Keoma AGCM",2017/01/04,0.1,-14.099,-8.66,-23.7,82.878,13.896
"Keoma AGCM",2017/01/05,1.2,-8.319,-4.651,-17.18,91.937,10.266
"Keoma AGCM",2017/01/06,0.9,-15.772,-10.62,-20.17,89.629,9.371
"Keoma AGCM",2017/01/07,0,-16.852,-15.06,-21.7,85.85,14.601
"Keoma AGCM",2017/01/08,0.1,-19.487,-17.24,-22.57,82.792,11.328
"Keoma AGCM",2017/01/09,4.3,-22.653,-18.92,-29.75,80.928,10.667
"Keoma AGCM",2017/01/10,0.6,-20.827,-15.8,-28.47,77.49,13.28
"Keoma AGCM",2017/01/11,0,-15.216,-7.896,-22.41,69.718,21.381
"Keoma AGCM",2017/01/12,0,-18.578,-7.194,-23.9,79.17,12.756
"Keoma AGCM",2017/01/13,0,-12.668,-6.243,-18.99,69.264,11.888
"Keoma AGCM",2017/01/14,0,-6.993,1.069,-17.96,68.124,14.207
"Keoma AGCM",2017/01/15,0,0.144,4.299,-7.05,64.178,16.725
"Keoma AGCM",2017/01/16,0,-2.928,7.251,-10.97,70.47,15.155
"Keoma AGCM",2017/01/17,0,4.467,7.642,1.046,71.682,17.882
"Keoma AGCM",2017/01/18,0,2.977,7.658,-0.378,76.469,10.303
"Keoma AGCM",2017/01/19,0,1.592,7.393,-2.801,75.372,9.899
"Keoma AGCM",2017/01/20,0,-3.471,4.669,-11.3,76.257,6.556
"Keoma AGCM",2017/01/21,0,-6.123,1.482,-12.72,86.956,7.649
"Keoma AGCM",2017/01/22,0,-5.361,-3.74,-6.183,98.608,7.182
