"Station Name","Date (Local Standard Time)","Precip. (mm)","Air Temp. Inst. (°C)","Air Temp. Max. (°C)","Air Temp. Min. (°C)","Humidity Inst. (%)","Humidity Avg. (%)","Wind Speed 2 m Avg. (km/h)"
"Keoma AGCM",2019/01/01,0,-15.33,-15.33,-16.75,82.5,83.2,13.52
"Keoma AGCM","2019/01/01 01:00:00",0,-13.11,-13.11,-15.33,81.7,82.2,13.02
"Keoma AGCM","2019/01/01 02:00:00",0,-10.93,-10.93,-13.11,79.58,80.8,13.95
"Keoma AGCM","2019/01/01 03:00:00",0,-9.7,-9.7,-10.93,80.3,79.7,13.83
"Keoma AGCM","2019/01/01 04:00:00",0,-7.513,-7.513,-9.7,84.2,81.5,12.73
"Keoma AGCM","2019/01/01 05:00:00",0,-6.551,-5.919,-7.513,79.23,82,11.8
"Keoma AGCM","2019/01/01 06:00:00",0,-5.133,-5.133,-6.551,79.28,78.38,13.61
"Keoma AGCM","2019/01/01 07:00:00",0,-4.484,-4.19,-5.133,81.7,81.8,10.16
"Keoma AGCM","2019/01/01 08:00:00",0,-1.257,-0.876,-5.746,62.71,76.84,8.01
"Keoma AGCM","2019/01/01 09:00:00",0,-2.369,-1.257,-2.608,67.02,65.82,10.22
"Keoma AGCM","2019/01/01 10:00:00",0,-1.318,-1.181,-2.369,65.38,64.85,15.31
"Keoma AGCM","2019/01/01 11:00:00",0,-0.33,-0.176,-1.368,68.63,65.82,11.4
"Keoma AGCM","2019/01/01 12:00:00",0,1.504,2.296,-0.421,64.78,66.48,10.06
"Keoma AGCM","2019/01/01 13:00:00",0,2.33,2.479,0.784,59.53,64.38,7.739
"Keoma AGCM","2019/01/01 14:00:00",0,1.471,2.797,1.447,67.08,62.38,9.88
"Keoma AGCM","2019/01/01 15:00:00",0,1.971,2.187,1.471,67.51,67.35,7.243
"Keoma AGCM","2019/01/01 16:00:00",0,-0.061,2.391,-0.237,74.46,70.06,7.968
"Keoma AGCM","2019/01/01 17:00:00",0,-1.202,0.157,-1.202,78.47,76.52,8.04
"Keoma AGCM","2019/01/01 18:00:00",0,-2.222,-1.177,-2.492,81.1,79.42,6.686
"Keoma AGCM","2019/01/01 19:00:00",0,-0.639,-0.538,-2.464,77.12,80.4,5.899
"Keoma AGCM","2019/01/01 20:00:00",0,-1.895,-0.639,-2.075,80.8,80.3,7.858
"Keoma AGCM","2019/01/01 21:00:00",0,-0.274,0.015,-1.972,73.69,77.12,10.99
"Keoma AGCM","2019/01/01 22:00:00",0,3.403,3.874,-0.274,62.71,60.52,18.67
"Keoma AGCM","2019/01/01 23:00:00",0,3.493,3.864,3.361,63.97,63.12,15.27
"Keoma AGCM",2019/01/02,0,3.817,3.921,3.38,61.87,62.78,15.86
"Keoma AGCM","2019/01/02 01:00:00",0,3.488,3.871,3.17,66.4,64.94,12.8
"Keoma AGCM","2019/01/02 02:00:00",0,5.004,5.024,3.488,57.93,61.67,19.21
"Keoma AGCM","2019/01/02 03:00:00",0,3.961,5.004,3.762,65.32,63.7,16.59
"Keoma AGCM","2019/01/02 04:00:00",0,2.119,4.053,2.119,75.89,68.81,11.36
"Keoma AGCM","2019/01/02 05:00:00",0,2.648,3.997,1.621,70.4,72.63,11.36
"Keoma AGCM","2019/01/02 06:00:00",0,3.232,3.232,1.678,67.33,70.41,16.79
"Keoma AGCM","2019/01/02 07:00:00",0,4.956,5.627,3.232,61.83,62.36,22.06
"Keoma AGCM","2019/01/02 08:00:00",0,5.52,5.807,4.803,59.73,59.84,20.65
"Keoma AGCM","2019/01/02 09:00:00",0,6.142,6.505,5.176,56.77,58.36,20.13
"Keoma AGCM","2019/01/02 10:00:00",0,6.459,6.917,6.088,54.92,54.54,26.4
"Keoma AGCM","2019/01/02 11:00:00",0,7.372,7.372,6.232,50.24,54.58,28.56
"Keoma AGCM","2019/01/02 12:00:00",0,6.703,7.394,6.703,54.33,53.01,30.8
"Keoma AGCM","2019/01/02 13:00:00",0,6.586,7.248,6.586,55.78,53.66,32.85
"Keoma AGCM","2019/01/02 14:00:00",0,7.522,7.544,6.452,53.15,54.01,26.46
"Keoma AGCM","2019/01/02 15:00:00",0,7.73,7.73,7.102,52.12,54.36,22.23
"Keoma AGCM","2019/01/02 16:00:00",0,7.367,8.2,6.639,51.97,51.89,23.63
"Keoma AGCM","2019/01/02 17:00:00",0,6.096,7.636,5.594,57.58,55.45,21.14
